Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,magnitude,death,missing,injuries,damages
1985,5,10,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,70,,,
1985,11,13,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,3,23080,,10000,
1985,12,19,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1,1,,,
1986,5,8,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,,1,,,
1986,7,24,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,1,,,
1986,8,21,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,3,1700,,300,
1986,10,15,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,1,,,
1986,11,15,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,3,1,,,
1987,1,25,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,3,,,15,
1987,4,17,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,2,,7,
1987,12,1,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,862,Complex volcano,,125,,,5
1988,5,9,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,4,,,
1988,7,6,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,1,,,
1988,7,30,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,1,,,
1988,12,25,Lonquimay,Chile-C,Chile,-38.377,-71.58,2865,Stratovolcano,3,1,,,
1988,,,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,,3,,,
1989,2,12,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,,1,,,
1989,8,26,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,,2,,,
1990,2,2,Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,3,,,,
1990,2,10,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,32,,,
1990,3,26,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,1,,,
1990,4,18,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,1,,,
1990,5,29,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,3,,,,
1990,6,24,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,,6,,,
1990,7,19,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,3,4,,,
1990,10,19,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,1,,,
1990,11,21,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,,1,,,
1990,11,25,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,,4,,,
1991,6,3,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,1,43,,,
1991,6,15,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,800,,4,
1991,6,,Mutnovsky,Kamchatka,Russia,52.453,158.195,2322,Complex volcano,,1,,,
1991,7,3,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,,,,
1991,8,8,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,5,,,,
1991,10,24,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,1,,,
1991,12,14,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,,2.5
1992,1,21,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,2,2,,,
1992,3,18,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,,1,,2,
1992,4,10,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,3,11,,50,3
1992,5,11,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1,6,,1,
1992,7,5,Marapi,Sumatra,Indonesia,-0.381,100.473,2891,Complex volcano,2,1,,5,
1992,7,12,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,6,,,
1992,9,17,Spurr,Alaska-SW,United States,61.3,-152.25,3374,Stratovolcano,4,1,,,2
1992,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,3,,,
1993,1,14,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2,9,,,
1993,1,21,Wurlali,Banda Sea,Indonesia,-7.125,128.675,868,Stratovolcano,,1,,12,
1993,2,2,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,75,,,
1993,3,12,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1,2,,,
1993,4,19,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,1,,22,
1993,6,13,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,1,1,,5,
1993,6,23,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,1,1,,,
1993,6,26,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,4,,,
1993,10,4,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,,14,,,
1994,1,15,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,361,Stratovolcano,3,1,,,
1994,2,3,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,6,,,
1994,5,29,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,1,1,,,
1994,6,6,Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,,650,,,2.4
1994,9,19,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3,4,,,86
1994,11,3,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,31,,,
1994,11,22,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,60,,,
1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,361,Stratovolcano,3,2,,,
1995,2,11,Yake-dake,Honshu-Japan,Japan,36.22,137.58,2455,Stratovolcano,1,4,,,
1995,4,2,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,,,20,
1995,4,7,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,3,1,,,
1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,-8.758,121.83,1640,Complex volcano,,1,,,
1995,9,6,Parker,Mindanao-Philippines,Philippines,6.12,124.892,1824,Stratovolcano,,60,,,
1996,1,2,Karymsky,Kamchatka,Russia,54.05,159.43,1536,Stratovolcano,2,,,,
1996,4,30,Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,3,5,,,
1996,8,10,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,3,,18,
1996,9,27,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,,6,,,
1996,9,30,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,3,,,,
1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,3,13,,29,
1997,1,14,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,6,,,
1997,4,17,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1,3,,,
1997,6,25,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,22,,,
1997,7,12,Hakkoda Group,Honshu-Japan,Japan,40.65,140.88,1585,Stratovolcano,,3,,,
1997,8,1,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,2,,,
1997,9,2,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,2,,,
1997,9,15,Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,,4,,,
1997,11,23,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,,2,,,
1997,12,26,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,
1998,4,28,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,
1998,7,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,,10,,,
1998,10,30,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,,1620,,,
1999,1,20,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,
1999,5,21,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,,,,
1999,8,15,Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4,,,,
1999,10,5,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3,2,,,
1999,10,16,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,1,,4,
2000,6,27,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,2,1,,,
2000,7,27,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,2,,,
2000,8,23,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,2,,1,
2000,11,3,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,2,,,
2000,11,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,1,,,
2001,5,14,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,1,,,
2001,7,26,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,,
2001,8,5,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,2,,,
2001,10,20,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,1,,,
2002,1,3,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,3,,,,
2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,100,,,
2002,8,28,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,,,32,
2002,11,3,Reventador,Ecuador,Ecuador,-0.078,-77.656,3562,Stratovolcano,4,,,,
2002,12,30,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,,,,,
2002,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,3,,,
2003,7,12,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,
2004,1,29,Egon,Lesser Sunda Is,Indonesia,-8.67,122.45,1703,Stratovolcano,1,1,,,
2004,6,8,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,,,,
2004,10,24,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,5,,,
2005,1,27,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,1,,14,
2005,10,1,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2365,Stratovolcano,3,2,,,
2005,11,24,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,,
2006,3,17,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,,1,,,
