ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
5568,1974,10,17,19,5,0, BRITISH COLOMBIA,54,88,0,0,0,0
2069,1974,10,17,0,0,0, PAPUA NEW GUINEA,-5.52,82,0,0,0,0
2071,1974,12,28,12,11,43.7,35.1,72.9,0,0,0,0,0
2072,1975,1,15,9,42,24,-5,130,0,0,0,0,0
2074,1975,3,13,15,26,42.5,-29.9,-71.3,0,0,0,0,0
2879,1975,4,27,18,5,0, BRITISH COLUMBIA,53.98,88,0,0,0,0
2567,1975,5,26,9,11,51.5,35.997,-17.649,0.76,0,0,0,0
2075,1975,6,10,13,47,14.5,43.024,147.734,5.5,0,0,0,0
2076,1975,7,20,14,37,39.9,-6.59,155.054,2,0,0,0,0
2079,1975,10,31,8,28,2.6,12.54,125.993,3,0,1,0,0
2080,1975,11,29,14,47,40.9,19.451,-155.033,14.3,1.5,2,19,0
2081,1975,12,26,15,56,38.7,-16.265,-172.467,0.38,0,0,0,0
2083,1976,1,14,16,47,33.5,-28.427,-177.657,0.9,0,0,0,0
2084,1976,1,21,10,5,24.1,44.915,149.123,0.38,0,0,0,0
2085,1976,2,4,9,1,43.4,15.324,-89.101,0.12,0,0,0,0
2086,1976,8,16,16,11,7.3,6.292,124.09,9,134,6800,6500,0
2088,1977,4,2,7,15,22.7,-16.696,-172.095,0.08,0,0,0,0
2089,1977,4,20,23,13,10.4,-9.828,163.323,0.15,0,0,0,0
2568,1977,4,20,23,42,50.5,-9.89,160.348,0,0,0,0,0
2090,1977,4,21,4,24,9.6,-9.965,160.731,0.04,0,0,0,0
2091,1977,6,22,12,8,33.4,-22.878,-175.9,0.4,0,0,0,0
2092,1977,8,19,6,8,55.2,-11.085,118.464,15,1.2,189,75,0
2093,1977,8,20,0,0,0,-1.1,146.2,0.5,0,0,0,0
2094,1977,8,28,20,10,5,-1.081,146.23,0.6,0,0,0,0
2095,1977,10,10,11,53,53.6,-25.856,-175.406,0.03,0,0,0,0
2096,1978,1,14,3,24,39,34.809,139.259,0.35,0,0,0,0
2097,1978,3,22,0,50,32.2,44.026,149.002,0.07,0,0,0,0
2569,1978,3,22,21,34,33.4,44.14,149.029,0.05,0,0,0,0
2099,1978,3,23,0,31,2.1,44.209,148.971,0.17,0,0,0,0
2101,1978,3,23,3,15,20.3,44.932,148.439,0.3,0,0,0,0
2103,1978,3,24,19,47,50.7,44.244,148.862,0.65,0,0,0,0
2105,1978,6,12,8,14,26.4,38.19,142.03,0.6,0,0,0,0
5448,1978,6,12,0,0,0,0,0,0,0,0,0,0
2106,1978,6,14,12,32,33.9, PHILIPPINES,8.249,84,0,0,0,0
2107,1978,6,20,20,3,21, GREECE,40.739,50,0,0,0,0
2913,1978,6,21,0,0,0, ADRIATIC SEA,42,50,0,0,0,0
2108,1978,7,23,14,42,36.9,22.282,121.512,0.05,0,0,0,0
4277,1978,8,14,14,17,50.4,36.37,-6.98,0.12,0,0,0,0
5513,1978,10,10,0,0,0,-43.08,172.97,0,0,0,0,0
2109,1978,11,29,19,52,47.6,16.01,-96.591,1.5,0,0,0,0
2110,1979,2,20,6,32,32.2, JAPAN,40.232,85,0,0,0,0
2111,1979,2,28,21,27,8.1, AK,60.691,87,0,0,0,0
2112,1979,3,14,11,7,16.3,17.813,-101.276,1.3,0,0,0,0
2914,1979,4,9,2,10,20.3,41.956,19.023,0,0,0,0,0
2113,1979,4,15,6,19,44.1,42.096,19.209,0.6,0,0,0,0
2915,1979,5,15,6,59,21.2,34.53,24.437,0,0,0,0,0
2115,1979,7,18,0,0,0,-8.6,123.5,9,0,1239,32,0
2118,1979,8,9,0,0,0,-8.5,123.5,0,0,0,0,0
2390,1979,9,3,2,12,0,11.517,-69.5,0,0,0,0,0
2119,1979,9,12,5,17,51.4,-1.679,136.04,2,0,100,0,0
4246,1979,10,6,0,0,0,65.117,12.333,2,0,0,0,0
2120,1979,10,16,13,57,0,43.7,7.25,10,0,9,0,0
2121,1979,11,16,15,21,25.7,-16.76,179.984,0,0,0,0,0
2122,1979,12,12,7,59,3.3, PACIFIC OCEAN,1.598,89,0,0,3,4
4259,1980,1,1,16,42,40,38.815,-27.78,0,0,0,0,0
2123,1980,2,23,5,51,3.2,43.53,146.753,0.6,0,0,0,0
3018,1980,5,18,0,0,0,46.2,-122.18,250,0,0,0,0
2124,1980,6,29,7,20,5.5,34.808,139.181,0.56,0,0,0,0
2125,1980,7,17,19,42,23.2,-12.525,165.916,0.14,0,0,0,0
2916,1980,10,10,12,25,23.5,36.195,1.354,0.7,0,0,0,0
2126,1981,1,18,18,17,24.4,38.64,142.75,0.37,0,0,0,0
2128,1981,2,24,20,53,38.4,38.222,22.934,0.3,0,0,0,0
5417,1981,3,4,21,58,5.9,38.209,23.288,1,0,0,0,0
2129,1981,5,11,7,10,0,-35.616,20.267,0.29,0,0,0,0
2130,1981,5,25,5,25,14.4,-48.786,164.357,0.3,0,0,0,0
2131,1981,9,1,9,29,31.5,-14.96,-173.085,1,0,0,0,0
